ID,Team A,Team B,A,B,Tournament,Phase,Extra
24573,Flavio Z,Gianni T,1,12,Milan XXXVI,,
24574,Paolo S,Fabio F,1,10,Milan XXXVI,,
24575,Alessandro V,Sandro T,5,3,Milan XXXVI,,
24576,Paolo S,Flavio Z,2,5,Milan XXXVI,,
24577,Alessandro V,Gianni T,1,8,Milan XXXVI,,
24578,Sandro T,Fabio F,1,3,Milan XXXVI,,
24579,Flavio Z,Alessandro V,2,4,Milan XXXVI,,
24580,Sandro T,Paolo S,7,3,Milan XXXVI,,
24581,Fabio F,Gianni T,2,8,Milan XXXVI,,
24582,Sandro T,Flavio Z,3,1,Milan XXXVI,,
24583,Fabio F,Alessandro V,7,7,Milan XXXVI,,
24584,Gianni T,Paolo S,10,2,Milan XXXVI,,
24585,Flavio Z,Fabio F,0,9,Milan XXXVI,,
24586,Gianni T,Sandro T,7,1,Milan XXXVI,,
24587,Paolo S,Alessandro V,6,8,Milan XXXVI,,
24588,Dennis N,Jorn F,1,3,Furulund I,,
24589,Jacob K,Torgny A,7,0,Furulund I,,
24590,Jacob K,Dennis N,10,1,Furulund I,,
24591,Torgny A,Jorn F,4,2,Furulund I,,
24592,Dennis N,Torgny A,3,3,Furulund I,,
24593,Jorn F,Jacob K,4,7,Furulund I,,
24594,Jorn F,Dennis N,3,0,Furulund I,,
24595,Torgny A,Jacob K,2,6,Furulund I,,
24596,Dennis N,Jacob K,2,5,Furulund I,,
24597,Jorn F,Torgny A,7,1,Furulund I,,
24598,Torgny A,Dennis N,1,1,Furulund I,,
24599,Jacob K,Jorn F,2,5,Furulund I,,
24600,Dennis N,Jorn F,2,2,Furulund I,,
24601,Jacob K,Torgny A,4,2,Furulund I,,
24602,Jacob K,Dennis N,8,1,Furulund I,,
24603,Torgny A,Jorn F,1,1,Furulund I,,
24604,Dennis N,Torgny A,2,2,Furulund I,,
24605,Jorn F,Jacob K,1,1,Furulund I,,
24606,Jorn F,Dennis N,3,1,Furulund I,,
24607,Torgny A,Jacob K,3,7,Furulund I,,
24608,Dennis N,Jacob K,1,8,Furulund I,,
24609,Jorn F,Torgny A,0,2,Furulund I,,
24610,Torgny A,Dennis N,6,0,Furulund I,,
24611,Jacob K,Jorn F,6,1,Furulund I,,
24612,Torgny A,Kenneth H,3,0,Copenhagen V,,
24613,Jorn F,Alex Br,5,0,Copenhagen V,,
24614,Jorn F,Jacob K,3,2,Copenhagen V,,
24615,Alex Br,Kenneth H,3,4,Copenhagen V,,
24616,Alex Br,Torgny A,0,3,Copenhagen V,,
24617,Kenneth H,Jacob K,0,6,Copenhagen V,,
24618,Kenneth H,Jorn F,1,4,Copenhagen V,,
24619,Jacob K,Torgny A,6,4,Copenhagen V,,
24620,Jacob K,Alex Br,8,3,Copenhagen V,,
24621,Torgny A,Jorn F,2,2,Copenhagen V,,
24622,Kenneth H,Torgny A,4,7,Copenhagen V,,
24623,Alex Br,Jorn F,1,3,Copenhagen V,,
24624,Jacob K,Jorn F,1,3,Copenhagen V,,
24625,Kenneth H,Alex Br,4,2,Copenhagen V,,
24626,Torgny A,Alex Br,4,3,Copenhagen V,,
